show_id,date_added,release_year
s1,"September 25, 2021",2020
s2,"September 24, 2021",2021
s3,"September 24, 2021",2021
s4,"September 24, 2021",2021
s5,"September 24, 2021",2021
s6,"September 24, 2021",2021
s7,"September 24, 2021",2021
s8,"September 24, 2021",1993
s9,"September 24, 2021",2021
s10,"September 24, 2021",2021
s11,"September 24, 2021",2021
s12,"September 23, 2021",2021
s13,"September 23, 2021",2021
s14,"September 22, 2021",2021
s15,"September 22, 2021",2021
s16,"September 22, 2021",2021
s17,"September 22, 2021",2020
s18,"September 22, 2021",2020
s19,"September 22, 2021",2021
s20,"September 22, 2021",2021
s21,"September 22, 2021",2021
s22,"September 22, 2021",2018
s23,"September 21, 2021",1996
s24,"September 21, 2021",2021
s25,"September 21, 2021",1998
s26,"September 21, 2021",2021
s27,"September 21, 2021",1997
s28,"September 20, 2021",2010
s29,"September 19, 2021",2013
s30,"September 19, 2021",2013
s31,"September 17, 2021",2021
s32,"September 17, 2021",2021
s33,"September 17, 2021",2020
s34,"September 17, 2021",2021
s35,"September 17, 2021",2020
s36,"September 17, 2021",2021
s37,"September 17, 2021",2021
s38,"September 16, 2021",2018
s39,"September 16, 2021",2017
s40,"September 16, 2021",2021
s41,"September 16, 2021",2021
s42,"September 16, 2021",1975
s43,"September 16, 2021",1978
s44,"September 16, 2021",1983
s45,"September 16, 2021",1987
s46,"September 16, 2021",2021
s47,"September 16, 2021",2012
s48,"September 16, 2021",2020
s49,"September 16, 2021",2001
s50,"September 15, 2021",2021
s51,"September 15, 2021",2014
s52,"September 15, 2021",2002
s53,"September 15, 2021",2003
s54,"September 15, 2021",2004
s55,"September 15, 2021",2001
s56,"September 15, 2021",2021
s57,"September 15, 2021",2011
s58,"September 15, 2021",2008
s59,"September 15, 2021",2009
s60,"September 15, 2021",2007
s61,"September 15, 2021",2010
s62,"September 15, 2021",2005
s63,"September 15, 2021",2006
s64,"September 15, 2021",2004
s65,"September 15, 2021",2021
s66,"September 15, 2021",2021
s67,"September 15, 2021",2014
s68,"September 15, 2021",1994
s69,"September 15, 2021",2021
s70,"September 15, 2021",2015
s71,"September 15, 2021",2021
s72,"September 14, 2021",2021
s73,"September 14, 2021",2021
s74,"September 14, 2021",2018
s75,"September 14, 2021",2021
s76,"September 14, 2021",2021
s77,"September 14, 2021",2013
s78,"September 11, 2021",2021
s79,"September 11, 2021",2020
s80,"September 11, 2021",2021
s81,"September 10, 2021",2021
s82,"September 10, 2021",2021
s83,"September 10, 2021",2021
s84,"September 10, 2021",2021
s85,"September 10, 2021",2020
s86,"September 10, 2021",2021
s87,"September 10, 2021",2021
s88,"September 10, 2021",2019
s89,"September 9, 2021",2021
s90,"September 9, 2021",2017
s91,"September 9, 2021",2019
s92,"September 9, 2021",2021
s93,"September 8, 2021",2021
s94,"September 8, 2021",2021
s95,"September 8, 2021",2018
s96,"September 8, 2021",2021
s97,"September 7, 2021",2018
s98,"September 7, 2021",2021
s99,"September 7, 2021",2021
s100,"September 7, 2021",2021
s101,"September 7, 2021",2019
s102,"September 7, 2021",2021
s103,"September 6, 2021",2021
s104,"September 6, 2021",2020
s105,"September 6, 2021",2016
s106,"September 5, 2021",2017
s107,"September 5, 2021",2021
s108,"September 4, 2021",2018
s109,"September 3, 2021",2021
s110,"September 3, 2021",2021
s111,"September 3, 2021",2021
s112,"September 3, 2021",2021
s113,"September 3, 2021",2021
s114,"September 2, 2021",2021
s115,"September 2, 2021",1994
s116,"September 2, 2021",2009
s117,"September 2, 2021",2015
s118,"September 2, 2021",2021
s119,"September 2, 2021",2017
s120,"September 2, 2021",2020
s121,"September 2, 2021",2021
s122,"September 2, 2021",2019
s123,"September 2, 2021",2003
s124,"September 2, 2021",2012
s125,"September 2, 2021",2013
s126,"September 2, 2021",2021
s127,"September 2, 2021",2020
s128,"September 1, 2021",2004
s129,"September 1, 2021",2017
s130,"September 1, 2021",2005
s131,"September 1, 2021",2021
s132,"September 1, 2021",1982
s133,"September 1, 2021",2021
s134,"September 1, 2021",2015
s135,"September 1, 2021",1994
s136,"September 1, 2021",1993
s137,"September 1, 2021",2003
s138,"September 1, 2021",2001
s139,"September 1, 2021",2010
s140,"September 1, 2021",1989
s141,"September 1, 2021",2014
s142,"September 1, 2021",2015
s143,"September 1, 2021",2007
s144,"September 1, 2021",2011
s145,"September 1, 2021",1990
s146,"September 1, 2021",1991
s147,"September 1, 2021",1994
s148,"September 1, 2021",2021
s149,"September 1, 2021",2020
s150,"September 1, 2021",1998
s151,"September 1, 2021",1999
s152,"September 1, 2021",2005
s153,"September 1, 2021",2016
s154,"September 1, 2021",2016
s155,"September 1, 2021",2015
s156,"September 1, 2021",1986
s157,"September 1, 2021",2010
s158,"September 1, 2021",2018
s159,"September 1, 2021",2003
s160,"September 1, 2021",2010
s161,"September 1, 2021",1992
s162,"September 1, 2021",1996
s163,"September 1, 2021",2017
s164,"September 1, 2021",2003
s165,"September 1, 2021",1999
s166,"September 1, 2021",2019
s167,"September 1, 2021",1984
s168,"September 1, 2021",2008
s169,"September 1, 2021",2001
s170,"September 1, 2021",2006
s171,"September 1, 2021",1997
s172,"September 1, 2021",2017
s173,"September 1, 2021",2003
s174,"September 1, 2021",2015
s175,"September 1, 2021",2003
s176,"September 1, 2021",1980
s177,"September 1, 2021",1986
s178,"September 1, 2021",1961
s179,"September 1, 2021",2014
s180,"September 1, 2021",1996
s181,"September 1, 2021",2000
s182,"September 1, 2021",2021
s183,"September 1, 2021",2008
s184,"August 31, 2021",1993
s185,"August 31, 2021",2021
s186,"August 31, 2021",2021
s187,"August 29, 2021",2021
s188,"August 29, 2021",2021
s189,"August 28, 2021",2008
s190,"August 28, 2021",2020
s191,"August 28, 2021",2021
s192,"August 28, 2021",2017
s193,"August 27, 2021",2008
s194,"August 27, 2021",2021
s195,"August 27, 2021",2002
s196,"August 27, 2021",2008
s197,"August 27, 2021",2021
s198,"August 27, 2021",2021
s199,"August 27, 2021",2021
s200,"August 27, 2021",2006
s201,"August 27, 2021",2004
s202,"August 27, 2021",2003
s203,"August 27, 2021",2005
s204,"August 27, 2021",2016
s205,"August 27, 2021",2012
s206,"August 27, 2021",2001
s207,"August 27, 2021",2010
s208,"August 27, 2021",2008
s209,"August 27, 2021",2010
s210,"August 27, 2021",2013
s211,"August 27, 2021",2011
s212,"August 27, 2021",2014
s213,"August 27, 2021",2016
s214,"August 27, 2021",2021
s215,"August 27, 2021",2021
s216,"August 27, 2021",2007
s217,"August 27, 2021",2011
s218,"August 27, 2021",2011
s219,"August 27, 2021",2021
s220,"August 26, 2021",2021
s221,"August 26, 2021",2021
s222,"August 25, 2021",2021
s223,"August 25, 2021",2021
s224,"August 25, 2021",2021
s225,"August 25, 2021",2021
s226,"August 25, 2021",2021
s227,"August 25, 2021",2021
s228,"August 25, 2021",2020
s229,"August 25, 2021",2014
s230,"August 25, 2021",2020
s231,"August 25, 2021",2021
s232,"August 25, 2021",2021
s233,"August 25, 2021",2019
s234,"August 24, 2021",2021
s235,"August 24, 2021",2021
s236,"August 24, 2021",2021
s237,"August 23, 2021",2021
s238,"August 23, 2021",2021
s239,"August 23, 2021",2021
s240,"August 23, 2021",2021
s241,"August 23, 2021",2021
s242,"August 21, 2021",2021
s243,"August 20, 2021",2021
s244,"August 20, 2021",2021
s245,"August 20, 2021",2018
s246,"August 20, 2021",2021
s247,"August 20, 2021",2021
s248,"August 20, 2021",2021
s249,"August 20, 2021",2021
s250,"August 20, 2021",2021
s251,"August 19, 2021",2020
s252,"August 19, 2021",2011
s253,"August 18, 2021",2021
s254,"August 18, 2021",1995
s255,"August 18, 2021",2021
s256,"August 18, 2021",2021
s257,"August 18, 2021",2020
s258,"August 18, 2021",2015
s259,"August 18, 2021",2020
s260,"August 18, 2021",2018
s261,"August 18, 2021",2020
s262,"August 18, 2021",2021
s263,"August 18, 2021",2021
s264,"August 16, 2021",2016
s265,"August 16, 2021",2014
s266,"August 15, 2021",2018
s267,"August 15, 2021",2020
s268,"August 15, 2021",1993
s269,"August 15, 2021",2020
s270,"August 15, 2021",2015
s271,"August 13, 2021",2021
s272,"August 13, 2021",2021
s273,"August 13, 2021",2021
s274,"August 13, 2021",2021
s275,"August 13, 2021",2021
s276,"August 13, 2021",2021
s277,"August 13, 2021",2021
s278,"August 12, 2021",2021
s279,"August 12, 2021",2021
s280,"August 12, 2021",2021
s281,"August 11, 2021",2021
s282,"August 11, 2021",2016
s283,"August 11, 2021",2020
s284,"August 11, 2021",2021
s285,"August 11, 2021",2021
s286,"August 11, 2021",2013
s287,"August 10, 2021",2021
s288,"August 10, 2021",2021
s289,"August 10, 2021",2018
s290,"August 10, 2021",2019
s291,"August 10, 2021",2021
s292,"August 9, 2021",2021
s293,"August 8, 2021",2012
s294,"August 8, 2021",2021
s295,"August 7, 2021",2020
s296,"August 7, 2021",2021
s297,"August 6, 2021",2021
s298,"August 6, 2021",2021
s299,"August 6, 2021",2020
s300,"August 6, 2021",2021
s301,"August 6, 2021",2021
s302,"August 5, 2021",2013
s303,"August 5, 2021",2013
s304,"August 5, 2021",1985
s305,"August 5, 2021",2021
s306,"August 5, 2021",1993
s307,"August 4, 2021",2016
s308,"August 4, 2021",2021
s309,"August 4, 2021",2012
s310,"August 4, 2021",2021
s311,"August 4, 2021",2021
s312,"August 4, 2021",2021
s313,"August 4, 2021",2021
s314,"August 3, 2021",2009
s315,"August 3, 2021",1995
