show_id,type,country
s1,Movie,United States
s2,TV Show,South Africa
s3,TV Show,
s4,TV Show,
s5,TV Show,India
s6,TV Show,
s7,Movie,
s8,Movie,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia"
s9,TV Show,United Kingdom
s10,Movie,United States
s11,TV Show,
s12,TV Show,
s13,Movie,"Germany, Czech Republic"
s14,Movie,
s15,TV Show,
s16,TV Show,United States
s17,Movie,
s18,TV Show,Mexico
s19,Movie,
s20,TV Show,
s21,TV Show,
s22,TV Show,Turkey
s23,Movie,
s24,Movie,
s25,Movie,India
s26,TV Show,Australia
s27,Movie,
s28,Movie,United States
s29,Movie,United States
s30,Movie,"United States, India, France"
s31,Movie,
s32,TV Show,
s33,TV Show,United Kingdom
s34,TV Show,
s35,TV Show,
s36,Movie,
s37,Movie,
s38,TV Show,Finland
s39,Movie,"China, Canada, United States"
s40,TV Show,India
s41,TV Show,United States
s42,Movie,United States
s43,Movie,United States
s44,Movie,United States
s45,Movie,United States
s46,Movie,
s47,Movie,"South Africa, United States, Japan"
s48,TV Show,
s49,Movie,United States
s50,TV Show,Nigeria
s51,TV Show,India
s52,Movie,Japan
s53,Movie,Japan
s54,Movie,Japan
s55,Movie,Japan
s56,TV Show,United States
s57,Movie,Japan
s58,Movie,Japan
s59,Movie,Japan
s60,Movie,Japan
s61,Movie,Japan
s62,Movie,Japan
s63,Movie,Japan
s64,Movie,Japan
s65,Movie,
s66,TV Show,United Kingdom
s67,TV Show,India
s68,TV Show,United States
s69,Movie,
s70,TV Show,India
s71,TV Show,
s72,Movie,
s73,TV Show,United Kingdom
s74,Movie,Nigeria
s75,TV Show,
s76,Movie,
s77,TV Show,Japan
s78,Movie,
s79,Movie,
s80,Movie,
s81,Movie,
s82,Movie,United States
s83,TV Show,United States
s84,TV Show,
s85,Movie,Nigeria
s86,TV Show,
s87,Movie,
s88,TV Show,
s89,Movie,
s90,TV Show,
s91,Movie,"Spain, United States"
s92,Movie,France
s93,TV Show,Belgium
s94,Movie,
s95,Movie,"United Kingdom, United States"
s96,TV Show,"United States, United Kingdom"
s97,Movie,United States
s98,TV Show,United States
s99,TV Show,United Kingdom
s100,TV Show,"France, United States"
s101,TV Show,
s102,Movie,United States
s103,TV Show,
s104,Movie,
s105,TV Show,South Korea
s106,Movie,India
s107,TV Show,United States
s108,Movie,United States
s109,TV Show,Australia
s110,TV Show,Spain
s111,TV Show,
s112,TV Show,"United States, Singapore"
s113,Movie,
s114,Movie,
s115,Movie,India
s116,Movie,"United Kingdom, Australia, France"
s117,Movie,India
s118,Movie,"United Kingdom, United States"
s119,Movie,India
s120,Movie,
s121,TV Show,Australia
s122,TV Show,
s123,Movie,"United Kingdom, Australia, France, United States"
s124,TV Show,
s125,TV Show,South Korea
s126,TV Show,United States
s127,Movie,India
s128,Movie,"United States, Canada"
s129,Movie,
s130,Movie,"Germany, United States"
s131,Movie,
s132,Movie,United States
s133,TV Show,
s134,Movie,"South Africa, United States"
s135,Movie,"United States, Mexico"
s136,Movie,"United States, Italy, France, Japan"
s137,Movie,"United States, Italy, Romania, United Kingdom"
s138,Movie,"Australia, United States"
s139,Movie,United States
s140,Movie,United States
s141,Movie,"Argentina, Venezuela"
s142,Movie,"United States, United Kingdom, Canada"
s143,Movie,"Germany, United States"
s144,Movie,United States
s145,Movie,United States
s146,Movie,United States
s147,Movie,United States
s148,TV Show,
s149,TV Show,
s150,Movie,United States
s151,Movie,United States
s152,Movie,"China, Hong Kong"
s153,Movie,United States
s154,TV Show,Russia
s155,TV Show,Japan
s156,Movie,"United Kingdom, United States"
s157,Movie,United States
s158,Movie,Canada
s159,Movie,United States
s160,Movie,Hong Kong
s161,TV Show,United States
s162,Movie,United States
s163,Movie,"United States, China, Hong Kong"
s164,Movie,United States
s165,Movie,United States
s166,TV Show,
s167,Movie,"Italy, United States"
s168,Movie,"United States, Canada"
s169,Movie,United States
s170,Movie,United States
s171,Movie,United States
s172,Movie,United States
s173,Movie,"United States, Germany"
s174,Movie,United States
s175,Movie,United States
s176,Movie,United States
s177,Movie,United States
s178,Movie,"United Kingdom, United States"
s179,Movie,United States
s180,Movie,United States
s181,Movie,
s182,TV Show,
s183,Movie,United States
s184,Movie,United States
s185,TV Show,United States
s186,Movie,
s187,TV Show,
s188,TV Show,
s189,Movie,France
s190,TV Show,
s191,Movie,India
s192,Movie,"United Kingdom, Canada, United States"
s193,Movie,India
s194,TV Show,", South Korea"
s195,TV Show,
s196,Movie,India
s197,Movie,
s198,TV Show,
s199,TV Show,Nigeria
s200,Movie,India
s201,Movie,India
s202,Movie,India
s203,Movie,India
s204,Movie,India
s205,Movie,India
s206,Movie,India
s207,Movie,India
s208,Movie,India
s209,Movie,India
s210,Movie,India
s211,Movie,India
s212,Movie,India
s213,TV Show,Ireland
s214,TV Show,
s215,Movie,
s216,Movie,India
s217,Movie,India
s218,Movie,India
s219,TV Show,
s220,TV Show,Japan
s221,TV Show,United States
s222,Movie,
s223,TV Show,
s224,TV Show,
s225,TV Show,
s226,TV Show,
s227,TV Show,
s228,Movie,United States
s229,Movie,"United States, United Kingdom"
s230,Movie,United States
s231,Movie,
s232,Movie,United States
s233,TV Show,United States
s234,Movie,United Kingdom
s235,TV Show,
s236,Movie,
s237,Movie,
s238,Movie,
s239,Movie,
s240,Movie,
s241,Movie,
s242,TV Show,United States
s243,TV Show,
s244,TV Show,
s245,Movie,
s246,TV Show,
s247,Movie,
s248,Movie,United States
s249,TV Show,
s250,Movie,
s251,Movie,
s252,Movie,United States
s253,Movie,
s254,Movie,India
s255,TV Show,United States
s256,Movie,
s257,Movie,
s258,Movie,
s259,Movie,
s260,Movie,"India, Nepal"
s261,TV Show,
s262,Movie,
s263,Movie,
s264,TV Show,United States
s265,Movie,United States
s266,TV Show,Japan
s267,TV Show,India
s268,Movie,"New Zealand, Australia, France, United States"
s269,Movie,
s270,TV Show,Italy
s271,Movie,"Italy, Brazil, Greece"
s272,TV Show,United States
s273,TV Show,United States
s274,TV Show,France
s275,TV Show,United States
s276,TV Show,Argentina
s277,TV Show,Spain
s278,TV Show,Jordan
s279,Movie,Colombia
s280,Movie,"United States, Japan"
s281,TV Show,United States
s282,Movie,Nigeria
s283,Movie,Mexico
s284,Movie,"Belgium, United Kingdom"
s285,Movie,"United Kingdom, United States"
s286,Movie,"Switzerland, United Kingdom, Australia"
s287,TV Show,United States
s288,TV Show,
s289,TV Show,Colombia
s290,TV Show,South Korea
s291,Movie,United States
s292,TV Show,Japan
s293,Movie,United Kingdom
s294,Movie,South Africa
s295,Movie,
s296,Movie,United States
s297,TV Show,"Israel, United States"
s298,TV Show,India
s299,Movie,Nigeria
s300,Movie,France
s301,Movie,"Canada, United States"
s302,Movie,India
s303,Movie,Brazil
s304,Movie,Argentina
s305,Movie,United Kingdom
s306,Movie,"Argentina, Spain"
s307,Movie,Nigeria
s308,Movie,United States
s309,Movie,United States
s310,TV Show,
s311,TV Show,United States
s312,TV Show,Mexico
s313,TV Show,United States
s314,TV Show,Taiwan
s315,Movie,United States
s316,Movie,"United States, Nigeria"
s317,TV Show,Taiwan
s318,Movie,United States
s319,Movie,
s320,TV Show,Taiwan
s321,TV Show,
s322,TV Show,Taiwan
s323,TV Show,Taiwan
s324,TV Show,United States
s325,TV Show,Italy
s326,Movie,United States
s327,Movie,United States
s328,Movie,"United States, United Kingdom"
s329,Movie,"Bulgaria, United States"
s330,Movie,"United States, Canada"
s331,Movie,"United States, Canada"
s332,TV Show,
s333,Movie,"United States, Mexico"
s334,Movie,United States
s335,Movie,United States
s336,Movie,United States
s337,TV Show,
s338,Movie,"United States, Canada"
s339,TV Show,Japan
s340,Movie,
s341,Movie,"United States, United Kingdom"
s342,Movie,United States
s343,Movie,United States
s344,Movie,United States
s345,Movie,United States
s346,Movie,"United States, Canada"
s347,Movie,United States
s348,Movie,"Spain, United Kingdom, United States"
s349,Movie,"United Kingdom, United States"
s350,Movie,United States
s351,Movie,United States
s352,Movie,"United States, Germany"
s353,Movie,"United States, China"
s354,Movie,United States
s355,Movie,United States
s356,Movie,United States
s357,Movie,"United States, France"
s358,Movie,"Spain, France, United Kingdom, United States"
s359,Movie,United States
s360,Movie,United States
s361,Movie,United States
s362,TV Show,United States
s363,Movie,
s364,Movie,
s365,TV Show,
s366,Movie,", France, Algeria"
s367,TV Show,United Kingdom
s368,Movie,
s369,TV Show,
s370,TV Show,
s371,TV Show,United States
s372,Movie,
s373,Movie,
s374,Movie,
s375,Movie,Nigeria
s376,Movie,
s377,TV Show,
s378,Movie,Poland
s379,Movie,United States
s380,TV Show,
s381,TV Show,United States
s382,TV Show,
s383,TV Show,United States
s384,Movie,India
s385,Movie,
s386,TV Show,Germany
s387,TV Show,"United States, Canada"
s388,Movie,
s389,TV Show,
s390,Movie,"France, Israel, Germany, United States, United Kingdom"
s391,TV Show,United States
s392,TV Show,"Canada, United States"
s393,Movie,United States
s394,Movie,Australia
s395,Movie,
s396,Movie,
s397,Movie,
s398,TV Show,
s399,Movie,
s400,TV Show,
s401,TV Show,
s402,TV Show,Spain
s403,Movie,United Kingdom
s404,TV Show,United States
s405,Movie,
s406,Movie,
s407,Movie,
s408,Movie,
s409,Movie,
s410,Movie,
s411,Movie,India
s412,Movie,
s413,Movie,
s414,Movie,
s415,Movie,
s416,Movie,India
s417,Movie,
s418,Movie,
s419,Movie,
s420,Movie,
s421,Movie,
s422,Movie,
s423,Movie,
s424,Movie,
s425,Movie,
s426,TV Show,United States
s427,Movie,New Zealand
s428,Movie,
s429,Movie,
s430,Movie,Nigeria
s431,TV Show,
s432,TV Show,
s433,Movie,
s434,Movie,United States
s435,TV Show,Argentina
s436,TV Show,
s437,Movie,Saudi Arabia
s438,Movie,United States
s439,Movie,
s440,Movie,Thailand
s441,TV Show,United States
s442,Movie,
s443,TV Show,"United States, Canada"
s444,Movie,
s445,TV Show,
s446,Movie,United States
s447,Movie,United States
s448,Movie,United States
s449,Movie,United States
s450,Movie,United States
s451,Movie,United States
s452,Movie,United States
s453,Movie,Indonesia
s454,TV Show,Japan
s455,Movie,
s456,Movie,
s457,TV Show,South Korea
s458,Movie,"Egypt, Denmark, Germany"
s459,Movie,
s460,TV Show,United States
s461,Movie,"United States, Canada"
s462,Movie,
s463,Movie,United States
s464,Movie,Italy
s465,Movie,
s466,TV Show,
s467,TV Show,
s468,Movie,
s469,Movie,
s470,Movie,"United States, Canada"
s471,Movie,
s472,Movie,
s473,TV Show,United States
s474,Movie,United States
s475,Movie,"United States, Switzerland"
s476,Movie,
s477,Movie,
s478,TV Show,United States
s479,TV Show,Germany
s480,Movie,
s481,Movie,
s482,Movie,
s483,TV Show,
s484,Movie,
s485,Movie,
s486,Movie,
s487,Movie,"Hong Kong, Canada, United States"
s488,TV Show,
s489,TV Show,United States
s490,Movie,"Kuwait, United States"
s491,TV Show,
s492,Movie,United States
s493,Movie,United States
s494,TV Show,"United States, Japan"
s495,Movie,United States
s496,Movie,
s497,Movie,"France, Canada, United States, Spain"
s498,TV Show,
s499,Movie,
s500,TV Show,United States
s501,Movie,
s502,Movie,
s503,Movie,Nigeria
s504,TV Show,Poland
s505,TV Show,
s506,Movie,
s507,Movie,Australia
s508,Movie,
s509,Movie,"France, Netherlands, Singapore"
s510,TV Show,United States
s511,TV Show,Canada
s512,TV Show,United States
s513,TV Show,"France, Belgium"
s514,TV Show,United States
s515,TV Show,United Kingdom
s516,TV Show,United Kingdom
s517,TV Show,Thailand
s518,TV Show,Japan
s519,Movie,India
s520,TV Show,United Kingdom
s521,TV Show,United States
s522,TV Show,Canada
s523,TV Show,Russia
s524,TV Show,United Kingdom
s525,TV Show,Japan
s526,TV Show,"United States, Canada"
s527,TV Show,United States
s528,TV Show,"Ireland, United States, United Kingdom"
s529,Movie,India
s530,Movie,Egypt
s531,TV Show,United States
s532,Movie,Malaysia
s533,TV Show,United States
s534,TV Show,Israel
s535,Movie,Indonesia
s536,TV Show,Canada
s537,TV Show,Australia
s538,TV Show,Japan
s539,TV Show,United Kingdom
s540,TV Show,"Australia, New Zealand"
s541,TV Show,"United Kingdom, Germany"
s542,Movie,India
s543,Movie,India
s544,TV Show,"Belgium, Netherlands"
s545,TV Show,Canada
s546,TV Show,South Korea
s547,TV Show,
s548,TV Show,United States
s549,TV Show,United States
s550,TV Show,
s551,Movie,
s552,Movie,India
s553,Movie,
s554,TV Show,France
